,corridor,direction,month,weekday,hour,pctge_c2g_mean,pctge_c2p_mean,pctge_tractocamiones_mean
432,CL13,0,3,Thursday,0,0.0,50.0,50.0
433,CL13,0,3,Thursday,1,4.5,73.25,22.25
434,CL13,0,3,Thursday,2,0.0,55.5,44.5
435,CL13,0,3,Thursday,3,2.75,74.25,23.0
436,CL13,0,3,Thursday,4,0.0,81.25,18.75
437,CL13,0,3,Thursday,5,0.0,82.0,18.0
438,CL13,0,3,Thursday,6,2.0,69.25,28.75
439,CL13,0,3,Thursday,7,0.0,79.0,21.0
440,CL13,0,3,Thursday,8,0.0,78.25,21.75
441,CL13,0,3,Thursday,9,0.0,68.75,31.25
442,CL13,0,3,Thursday,10,3.5,72.0,24.75
443,CL13,0,3,Thursday,11,10.5,61.0,28.5
444,CL13,0,3,Thursday,12,2.75,69.5,27.75
445,CL13,0,3,Thursday,13,3.25,76.75,20.0
446,CL13,0,3,Thursday,14,2.5,75.75,21.5
447,CL13,0,3,Thursday,15,2.0,76.0,22.0
448,CL13,0,3,Thursday,16,8.75,74.75,16.75
449,CL13,0,3,Thursday,17,2.5,72.75,24.75
450,CL13,0,3,Thursday,18,4.25,70.5,25.25
451,CL13,0,3,Thursday,19,2.75,60.25,37.0
452,CL13,0,3,Thursday,20,5.5,73.0,22.0
453,CL13,0,3,Thursday,21,1.25,70.75,27.75
454,CL13,0,3,Thursday,22,3.0,54.75,42.5
455,CL13,0,3,Thursday,23,0.0,66.5,33.5
456,CL13,0,3,Tuesday,0,20.75,33.25,45.75
457,CL13,0,3,Tuesday,1,0.0,80.0,20.0
458,CL13,0,3,Tuesday,2,0.0,77.0,23.0
459,CL13,0,3,Tuesday,3,0.0,92.5,7.5
460,CL13,0,3,Tuesday,4,0.0,91.5,8.5
461,CL13,0,3,Tuesday,5,0.0,79.5,20.5
462,CL13,0,3,Tuesday,6,4.0,68.5,27.5
463,CL13,0,3,Tuesday,7,3.5000000000000004,85.5,11.0
464,CL13,0,3,Tuesday,8,2.5,73.5,24.25
465,CL13,0,3,Tuesday,9,2.5,77.5,20.0
466,CL13,0,3,Tuesday,10,0.75,68.75,30.5
