codigo_siniestro,fecha,hora,gravedad,clase,choque_con,objeto_fijo,direccion,total_muertos,total_heridos,localidad,diseno_lugar,corredor,direcc_1,ciudad,pais,ciclista,conductor,motociclista,pasajero,peaton,total_condicion,herido,ileso,muerto,sin_informacion_x,total_estado,femenino,masculino,total_sexo,automovil,bicicleta,bus,buseta,camion_furgon,camioneta,campero,cuatrimoto,microbus,motocarro,motocicleta,motociclo,tractocamion,volqueta,total_clase,diplomatico,oficial,particular,publico,total_servicio,first_codc,codigo_causa,descripcion,direcc_2,direcc_3,direcc_copl,hora_1,lat,lon,year_month,year,month,day,hour,sentido,dia,carga_S/N,accidents_road_1_cl13,accidents_road_1_cl80
4429469,14/11/2015,5:50:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 95 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,95,2,Avenida Calle 80 # 95 02 Bogotá Colombia,6/11/2020 5:50,4.6940409,-74.0869892,2015-11,2015,11,Saturday,5,east_west,Sabado,0,FALSE,FALSE
4429604,15/11/2015,11:00:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 72 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,72,2,Avenida Calle 80 # 72 02 Bogotá Colombia,6/11/2020 11:00,4.6940409,-74.0869892,2015-11,2015,11,Sunday,11,east_west,Domingo,0,FALSE,FALSE
4429491,15/11/2015,14:20:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 120 02,0,0,Engativá,Glorieta,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,112,112,DESOBEDECER SEÑALES,120,2,Avenida Calle 80 # 120 02 Bogotá Colombia,6/11/2020 14:20,4.6940409,-74.0869892,2015-11,2015,11,Sunday,14,east_west,Domingo,0,FALSE,FALSE
4429652,17/11/2015,15:00:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 72 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,4,0,0,0,4,0,4,0,0,4,0,3,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,4,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,72,2,Avenida Calle 80 # 72 02 Bogotá Colombia,6/11/2020 15:00,4.6940409,-74.0869892,2015-11,2015,11,Tuesday,15,east_west,Martes,0,FALSE,FALSE
4429632,17/11/2015,8:40:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 64 02,0,0,Barrios Unidos,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,3,0,0,0,3,0,3,0,0,3,0,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,1,3,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,64,2,Avenida Calle 80 # 64 02 Bogotá Colombia,6/11/2020 8:40,4.6940409,-74.0869892,2015-11,2015,11,Tuesday,8,east_west,Martes,0,FALSE,FALSE
4429667,17/11/2015,14:23:00,Con Heridos,Choque,Vehiculo,,AC 80-KR 81 02,0,2,Engativá,Interseccion,Calle 80,Calle 80,Bogotá,Colombia,1,0,1,0,0,2,2,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,142,142,SEMÁFORO EN ROJO,81,2,Avenida Calle 80 # 81 02 Bogotá Colombia,6/11/2020 14:23,4.6940409,-74.0869892,2015-11,2015,11,Tuesday,14,east_west,Martes,0,FALSE,FALSE
10490394,13/07/2019,21:55:00,Con Muertos,Volcamiento,,,AC 80-KR 96 2,1,0,Engativá,Interseccion,Calle 80,Calle 80,Bogotá,Colombia,0,1,1,0,0,2,0,1,1,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,142,142,SEMÁFORO EN ROJO,96,2,Avenida Calle 80 # 96 2 Bogotá Colombia,6/11/2020 21:55,4.6678491,-74.0622513,2019-07,2019,7,Saturday,21,east_west,Sabado,0,FALSE,FALSE
4429710,17/11/2015,17:00:00,Con Heridos,Choque,Vehiculo,,AC 80-KR 120 02,0,1,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,1,0,3,1,2,0,0,3,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,120,2,Avenida Calle 80 # 120 02 Bogotá Colombia,6/11/2020 17:00,4.6940409,-74.0869892,2015-11,2015,11,Tuesday,17,east_west,Martes,1,FALSE,FALSE
4429744,18/11/2015,14:00:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 94L 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,94L,2,Avenida Calle 80 # 94L 02 Bogotá Colombia,6/11/2020 14:00,4.6960664,-74.0898692,2015-11,2015,11,Wednesday,14,east_west,Miercoles,1,FALSE,FALSE
4429841,19/11/2015,16:10:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 81 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,81,2,Avenida Calle 80 # 81 02 Bogotá Colombia,6/11/2020 16:10,4.6940409,-74.0869892,2015-11,2015,11,Thursday,16,east_west,Jueves,1,FALSE,FALSE
